pond,DATE,densGrad,maxN2,Schmidt
ALC,2021-06-08,0.09865405316031683,0.0038824472116791194,0.017900769047307405
ALC,2021-06-15,1.306571475511305,0.040498639275218636,0.3834144217406774
ALC,2021-07-02,0.45276134715516037,0.009279602299842604,0.12387698356309244
ALC,2021-07-08,0.15203013321570324,0.0042499638096179715,0.030203195768128285
ALC,2021-07-21,0.1798668335414959,0.0035692814446019482,0.026742010156078837
ALC,2021-07-27,0.11668436883223876,0.0027424229820033935,0.012163388561174071
ALC,2021-08-02,0.1842285159051471,0.0032436312340217766,0.036708720334886764
ALC,2022-01-13,0.0743168879539553,0.0014611134964745232,0.015703362326215286
ALC,2022-01-27,0.07139019352223386,0.0016231905547177837,0.012070121908673556
ALC,2022-02-09,0.06009536396175008,0.0016747916412573945,0.00661644599120984
CAP,2021-06-07,0.05351047058923086,0.0010552619754298676,0.01145364240343906
CAP,2021-06-16,0.2600362937062073,0.005090466117537254,0.17134118159063985
CAP,2021-07-01,0.9913182802441725,0.019558098543543897,0.8128287212564131
CAP,2021-07-08,0.048352513138866016,9.532234786627917e-4,0.0010728237915390985
CAP,2021-07-16,0.2806279744886524,0.0036170239043963126,0.10567257219772165
CAP,2021-07-29,0.7411444504925839,0.018067273676932134,0.43839703218131926
CAP,2021-08-04,0.5894915829330785,0.012842614978384978,0.42000921738630126
CAP,2022-01-13,0.014327851817938608,3.0293794591482794e-4,0.009799815339252851
CAP,2022-01-27,0.0559753698781833,0.0012853597996676483,0.04183814207922729
CAP,2022-02-09,0.0517000558069185,9.728472438896634e-4,0.033221345263003264
DCSW1,2021-06-09,2.449077457472754,0.031106535124826935,3.038106869030303
DCSW1,2021-06-21,0.6730300785592362,0.015760956174779975,0.28977294786929414
DCSW1,2021-07-01,1.2597348999889846,0.022703368977151334,0.6892484626355163
DCSW1,2021-07-09,0.6712494080508122,0.0163047079750439,0.3490840613522164
DCSW1,2021-07-19,0.29595052718332227,0.005754439979525113,0.21599909674133308
DCSW1,2021-07-29,0.6225228781671603,0.014415797363205541,0.19866409783444916
DCSW1,2021-08-04,0.5489052170586319,0.008069700302872983,0.6626254702016418
DCSW1,2022-01-13,0.01971608415499304,4.276183927734306e-4,0.01706058498065115
DCSW1,2022-01-27,0.03833520547993885,5.138304278952369e-4,0.050255123483604947
DCSW1,2022-02-09,0.040806430986663145,0.0011522438582884618,0.06259723335746278
DCSW2,2021-06-09,2.7704746729220915,0.02627334326902528,2.92870320235327
DCSW2,2021-06-21,0.5041497418803829,0.013567622233192094,0.24575977582698066
DCSW2,2021-07-01,0.5317958425741836,0.005869791949032009,0.5256978061547387
DCSW2,2021-07-09,0.342526113477561,0.006399196419284527,0.3499653407794114
DCSW2,2021-07-19,0.6006076759979351,0.008227638697377507,0.4895958468300293
DCSW2,2021-07-29,0.12500940652284953,9.915988328237967e-4,0.09643751943031753
DCSW2,2021-08-04,0.3836488404111833,0.005661381217796175,0.3323068244263616
DCSW2,2022-01-13,0.03859141444979741,0.0010042203690088368,0.03273374412690846
DCSW2,2022-01-27,0.052941938281492185,9.215310672153603e-4,0.048532300135845384
DCSW2,2022-02-09,0.09118995922017348,0.0021812611186006223,0.07239133970511685
DCSW3,2021-06-09,2.7408147888698977,0.02945542072984452,4.53360490843018
DCSW3,2021-06-21,0.5806801433211604,0.014894433213033981,0.17852694869708746
DCSW3,2021-07-01,0.6767659758660329,0.009161600173809077,0.6593053175083986
DCSW3,2021-07-09,0.332941323266823,0.005638006923507538,0.5129637666553565
DCSW3,2021-07-19,0.7607996105436996,0.012604626968278672,0.6270970321957369
DCSW3,2021-07-29,0.4577689625119774,0.005961311594414706,0.5450620541087194
DCSW3,2021-08-04,0.33844677281854274,0.004843497846965008,0.48015037830677876
DCSW3,2022-01-13,0.03357738083457207,8.534281718556452e-4,0.03849934075153397
DCSW3,2022-01-27,0.08295426230165504,0.0014611134964745232,0.07990401652932025
DCSW3,2022-02-09,0.05245376843754457,8.916487185591354e-4,0.05184995573709535
DOBA4,2021-06-07,1.6063080051678753,0.029171732556207464,0.8602081078817447
DOBA4,2021-06-16,0.29010206721909526,0.0048242553982153075,0.2624422696840904
DOBA4,2021-07-01,0.753782949670267,0.008227638697377507,0.5971583736807952
DOBA4,2021-07-09,0.6574371210724621,0.014910345854404474,0.7380776468632931
DOBA4,2021-07-16,0.5932190553363625,0.007202488254147045,0.48498725568005624
DOBA4,2021-07-29,0.4577689625119774,0.005961311594414706,0.3432415295508696
DOBA4,2021-08-04,0.5078406954946786,0.005638006923507538,0.38395215214222234
DOBA4,2022-01-13,0.024014659658291748,5.328271723728377e-4,0.024471611529028266
DOBA4,2022-01-27,0.052941938281492185,7.598616885903925e-4,0.05818915767437925
DOBA4,2022-02-09,0.08191963246088108,0.0018218306018416633,0.08004261250793705
DOBA5,2021-06-07,2.4939749815774803,0.030035353148767097,3.6176544438684646
DOBA5,2021-06-16,1.417884197502417,0.02804627477710595,0.8157399433614
DOBA5,2021-07-01,1.8466761128752296,0.024648116186500226,2.096326531248997
