pond,Bottom_DO_summer,Top_DO_summer,diffDO_summer,densGrad_summer,RTRM_summer,chloride_mgL_summer,sulfate_mgL_summer,secchi_m_summer,TSS_gL_summer,POM_gL_summer,OM_perc_summer,DOC_summer,DIC_summer,chla_summer,co2_summer,ch4_summer,srp_summer,Floating,Algae,Emergent,Bottom_DO_winter,Top_DO_winter,diffDO_winter,densGrad_winter,RTRM_winter,chloride_mgL_winter,sulfate_mgL_winter,secchi_m_winter,TSS_gL_winter,POM_gL_winter,OM_perc_winter,DOC_winter,DIC_winter,co2_winter,ch4_winter,srp_winter,chla_winter,whiteice
ALC,24.714285714285715,76.72857142857143,52.01428571428572,0.356,42.54757142857143,236.44,2.116,0.5191666666666667,0.0144,0.0098,67.36,9.0418,21.79,30.98,41.045,5.58825,26.822333333333333,40,39.666666666666664,15,17.266666666666666,26.366666666666667,9.100000000000003,0.06833333333333333,8.115333333333334,371.37,6.57,0.5666666666666667,0.018000000000000002,0.010666666666666666,69.79,7.617666666666667,51.65333333333333,410.4443333333333,47.237,5.725666666666666,36.7,4.75
CAP,17.885714285714286,39,21.114285714285714,0.42342857142857143,50.251285714285714,27.46,2.118,0.6307142857142857,0.007333333333333333,0.005833333333333334,74.97333333333333,5.9894,13.4404,16.15,138.65,12.21575,11.021333333333333,68.33333333333333,8.333333333333334,21.666666666666668,5.166666666666667,22.533333333333335,17.366666666666667,0.040666666666666663,4.555666666666667,63.2,3.1533333333333333,0.35,0.021,0.018666666666666665,90.97666666666667,6.065333333333333,16.75,335.111,41.31433333333333,108.636,339.1,3.5
DCSW1,8.82857142857143,57.542857142857144,48.714285714285715,0.9315714285714286,112.60271428571428,26.491999999999997,3.762,1.2685714285714287,0.0036666666666666666,0.0026666666666666666,76.00666666666666,6.8398,19.716,9.566666666666666,30.37275,2.0837499999999998,30.714999999999996,5.666666666666667,20,23.333333333333332,40.63333333333333,63.666666666666664,23.03333333333333,0.033,3.7213333333333334,45.39,12.826666666666666,1.65,0.002,0.001,57.403333333333336,4.5393333333333334,52.49,192.32233333333335,1.0506666666666666,3.646333333333333,6.35,3.5
DCSW2,10.514285714285714,86.24285714285715,75.72857142857143,0.7512857142857143,90.71328571428572,44.788,8.347999999999999,0.8042857142857143,0.009000000000000001,0.006166666666666667,68.14833333333334,6.4563999999999995,27.774,42.6,44.561749999999996,7.59875,16.508666666666667,35,35,5,33.7,70.13333333333333,36.43333333333334,0.061,6.85,52.096666666666664,14.346666666666666,1.2166666666666666,0.006,0.005333333333333333,87.44666666666667,4.676666666666667,59.43666666666667,183.45566666666667,16.684333333333335,9.330666666666668,71.5,4
DCSW3,14.657142857142857,56.871428571428574,42.214285714285715,0.8412857142857143,102.48985714285715,45.672,7.316,1.2457142857142858,0.005666666666666667,0.004333333333333333,75.62333333333333,6.1616,25.406,9.916666666666666,44.10525,6.085,41.592,11.666666666666666,35,15,53.96666666666667,73.96666666666667,19.999999999999996,0.05633333333333333,6.499333333333333,10.446666666666667,5.836666666666667,1.2166666666666666,0.004,0.0026666666666666666,61.056666666666665,4.851,21.616666666666667,53.41133333333334,1.295,7.207000000000001,20.8,3.75
DOBA4,14.557142857142857,92.94285714285715,78.38571428571429,0.6951428571428572,84.275,28.556,2.014,0.29928571428571427,0.03133333333333333,0.023833333333333335,75.50666666666666,5.9404,8.399799999999999,74.95,44.08125,0.65,6.997333333333334,40,0,26.666666666666668,12.066666666666666,77.23333333333333,65.16666666666667,0.053,6.032,23.983333333333334,2.0766666666666667,0.2733333333333333,0.036333333333333336,0.03066666666666667,85.24666666666667,5.241666666666667,13.320333333333334,139.11133333333333,4.983333333333333,28.709666666666667,693,3.25
DOBA5,4.628571428571428,106.15714285714286,101.52857142857142,1.1777142857142857,143.07185714285714,37.72,2.414,0.5892857142857143,0.026333333333333334,0.022833333333333334,85.075,7.9806,9.2416,157.35,11.6665,16.295,13.165333333333333,0,66,0,2.1333333333333333,25.96666666666667,23.833333333333336,0.03966666666666667,3.720666666666667,21.79,2.03,0.4666666666666667,0.019,0.017,90.21666666666667,6.932333333333333,15.593333333333332,179.47233333333335,25.608666666666668,75.27733333333333,242.2,4.5
DOBA7,28.014285714285712,84.57142857142857,56.55714285714286,0.5242857142857142,54.22057142857143,75.498,5.194,0.3264285714285714,0.027333333333333334,0.016,58.50833333333333,6.3824,8.7446,84,2.851,0.74575,7.224,30,0,0,14.166666666666668,83.23333333333333,69.06666666666666,0.08766666666666667,10.063333333333333,289.40633333333335,6.663333333333333,0.48333333333333334,0.006666666666666667,0.006,85.26,4.512666666666666,17.793333333333333,82.45133333333334,66.35633333333334,4.0456666666666665,40.95,5.5
DOBA8,1.8285714285714285,73.01428571428572,71.18571428571428,0.9654285714285714,116.7312857142857,25.1,2.102,0.7221428571428571,0.008833333333333334,0.007666666666666667,67.01333333333334,5.8347999999999995,8.926,25.96666666666667,32.80825,1.416,13.671333333333333,6.666666666666667,9,3.3333333333333335,2.3666666666666667,29.8,27.433333333333334,0.034999999999999996,2.1693333333333333,20.686666666666667,4.623333333333333,1.1333333333333333,0.0026666666666666666,0.0023333333333333335,90.86666666666666,3.6086666666666667,27.016666666666666,253.33333333333331,6.6979999999999995,28.413333333333334,7.2,4
ELV,0.5571428571428572,75.37142857142857,74.81428571428572,1.2638571428571428,152.30057142857143,75.952,3.372,0.645,0.008833333333333334,0.006166666666666667,68.91499999999999,6.0476,10.0956,32,23.964000000000002,1.26775,14.784666666666666,8.5,7.5,15,29.6,89.16666666666667,59.56666666666667,0.104,12.635333333333334,27.08,3.5633333333333335,0.4,0.007333333333333333,0.006,78.78666666666666,4.1739999999999995,13.88,29.177999999999997,16.389,16.923666666666666,173.64999999999998,4.65
HP-UW,53.44285714285714,113,59.557142857142864,0.599,72.51242857142857,173.50666666666666,23.535,0.6492857142857142,0.011333333333333334,0.004833333333333334,42.61833333333333,2.507,40.264,13.55,58.39175,1.72725,2.634,5,15,0,118.3,110.93333333333334,-7.36666666666666,0.016666666666666666,1.2566666666666668,343.07,40.88666666666667,1.4833333333333334,0.0023333333333333335,0.0013333333333333333,56.36,1.3556666666666666,81.06333333333333,120.26666666666667,3.1886666666666668,0.9366666666666666,6.15,0.25
KP,1.0142857142857142,39.142857142857146,38.128571428571426,0.9098571428571428,110.51685714285715,18.66,0.97,0.3407142857142857,0.043833333333333335,0.03383333333333333,75.56666666666666,8.4946,16.022,104.71666666666667,561.58325,71.31675,65.45066666666666,76.66666666666667,5.5,16,4,26.066666666666666,22.066666666666666,0.05866666666666666,5.635666666666666,41.15333333333333,1.0333333333333334,0.11666666666666667,0.14733333333333332,0.05266666666666667,36.54,11.899666666666667,40.333333333333336,2396.6666666666665,690.7776666666666,29.493666666666666,382.25,6
L60-UW,0.8571428571428571,49.22857142857143,48.37142857142857,1.332,161.071,119.588,2.44,0.5164285714285715,0.011333333333333334,0.008166666666666666,68.71166666666667,7.0846,21.147199999999998,56.13333333333333,221.82525,86.635,18.253333333333334,47.5,5,46.25,14.433333333333334,31.066666666666666,16.633333333333333,0.028666666666666667,3.014666666666667,91.46666666666667,4.5600000000000005,0.48333333333333334,0.018,0.012333333333333333,63.843333333333334,5.488666666666666,29.06,518.7776666666666,49.011,8.081666666666667,100.75,3.75
LM-ARB,47.15714285714286,58.6,11.442857142857145,0.14942857142857144,16.46014285714286,101.696,4.852,0.28785714285714287,0.031166666666666665,0.017833333333333333,59.54833333333333,6.9879999999999995,25.002,116.13333333333333,93.84175,1.55575,18.139333333333333,0,2,0,26.900000000000002,43.333333333333336,16.433333333333334,0.022333333333333334,1.784,144.06333333333333,19.646666666666665,0.5166666666666666,0.008,0.005333333333333333,69.17666666666666,2.8926666666666665,71.23,518.333,12.775666666666666,7.808666666666666,29.35,19
MDT,48.871428571428574,96.78571428571428,47.91428571428571,0.29914285714285715,33.77128571428572,34.032,2.2119999999999997,0.6985714285714285,0.008166666666666666,0.007166666666666667,88.225,6.3922,8.3066,34.3,0.2285,0.771,9.987666666666666,15,11.666666666666666,11.666666666666666,67.3,89.16666666666667,21.86666666666667,0.06066666666666667,6.7620000000000005,28.580000000000002,3.7266666666666666,0.43333333333333335,0.016666666666666666,0.014666666666666666,86.69,4.085666666666667,18.683333333333334,80.358,0.5273333333333333,19.085333333333335,204.9,5.25
